node,title,pagerank
m_2571,"Matrix, The (1999)",0.0011288694786229362
m_356,Forrest Gump (1994),0.0010814400284504314
m_296,Pulp Fiction (1994),0.0010662926535926326
m_260,Star Wars: Episode IV - A New Hope (1977),0.0010617789793470143
m_318,"Shawshank Redemption, The (1994)",0.0010518659529784463
m_1196,Star Wars: Episode V - The Empire Strikes Back (1980),0.0010045685902277553
m_593,"Silence of the Lambs, The (1991)",0.0009928519583245448
m_2959,Fight Club (1999),0.0009652675646981438
m_1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),0.0009171263259968184
m_1210,Star Wars: Episode VI - Return of the Jedi (1983),0.000914487029373858
m_858,"Godfather, The (1972)",0.0009099336430264966
m_2858,American Beauty (1999),0.0008711218641390892
m_2028,Saving Private Ryan (1998),0.0008571159136550068
m_4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",0.0008427729721067902
m_1270,Back to the Future (1985),0.0008194644033968994
m_7153,"Lord of the Rings: The Return of the King, The (2003)",0.0008171014031961369
m_50,"Usual Suspects, The (1995)",0.0008055937414779109
m_2762,"Sixth Sense, The (1999)",0.000794433643196663
m_5952,"Lord of the Rings: The Two Towers, The (2002)",0.0007921579907390958
m_4226,Memento (2000),0.0007899296117379168
m_589,Terminator 2: Judgment Day (1991),0.0007707298123499039
m_608,Fargo (1996),0.0007461695854602525
m_1089,Reservoir Dogs (1992),0.0007457093293569238
m_527,Schindler's List (1993),0.0007430598239218892
m_1136,Monty Python and the Holy Grail (1975),0.0007375460377454767
m_47,Seven (a.k.a. Se7en) (1995),0.000737225203351441
m_1265,Groundhog Day (1993),0.0007357944933382558
m_4306,Shrek (2001),0.0007219819215065258
m_1,Toy Story (1995),0.0007156265359250061
m_3578,Gladiator (2000),0.0007101721920282922
m_1291,Indiana Jones and the Last Crusade (1989),0.0006983605605605647
m_110,Braveheart (1995),0.0006977032338574699
m_1214,Alien (1979),0.0006975551434916521
m_58559,"Dark Knight, The (2008)",0.0006774774476923869
m_480,Jurassic Park (1993),0.0006764297820582082
m_1197,"Princess Bride, The (1987)",0.000666980627100659
m_32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0.0006648798856837456
m_1704,Good Will Hunting (1997),0.0006633762880038219
m_6874,Kill Bill: Vol. 1 (2003),0.0006618535937242135
m_1213,Goodfellas (1990),0.0006597547411099785
m_1206,"Clockwork Orange, A (1971)",0.0006544959396807022
m_1221,"Godfather: Part II, The (1974)",0.0006491794031407721
m_6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),0.000638829293860376
m_1240,"Terminator, The (1984)",0.0006356266944534584
m_6377,Finding Nemo (2003),0.0006350073594622129
m_541,Blade Runner (1982),0.0006306203145217823
m_293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),0.0006185822928818998
m_1682,"Truman Show, The (1998)",0.0006166610352320084
m_1208,Apocalypse Now (1979),0.0006135470574843024
m_1732,"Big Lebowski, The (1998)",0.0006077700443282824
m_1193,One Flew Over the Cuckoo's Nest (1975),0.0006051604418206316
m_4886,"Monsters, Inc. (2001)",0.0006040755146745594
m_4995,"Beautiful Mind, A (2001)",0.0006027774517773969
m_588,Aladdin (1992),0.0006019943648255432
m_4963,Ocean's Eleven (2001),0.0006010429911274944
m_1200,Aliens (1986),0.000599818432104752
m_1036,Die Hard (1988),0.0005930811137422089
m_1580,Men in Black (a.k.a. MIB) (1997),0.0005926092374751712
m_5989,Catch Me If You Can (2002),0.0005893656958820949
m_2329,American History X (1998),0.0005855783022105682
m_1258,"Shining, The (1980)",0.0005851290024125125
m_79132,Inception (2010),0.000584766371131362
m_750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),0.0005845403739521904
m_7438,Kill Bill: Vol. 2 (2004),0.0005839756454249284
m_3147,"Green Mile, The (1999)",0.0005828812009192307
m_7361,Eternal Sunshine of the Spotless Mind (2004),0.0005821096418511874
m_364,"Lion King, The (1994)",0.0005815619230860406
m_912,Casablanca (1942),0.0005809369966943105
